7/9/2013 0:00,UP
7/10/2013 0:00,UP
7/11/2013 0:00,DOWN
7/12/2013 0:00,UP
7/13/2013 0:00,DOWN
7/14/2013 0:00,UP
7/15/2013 0:00,DOWN
7/16/2013 0:00,DOWN
7/17/2013 0:00,DOWN
7/18/2013 0:00,UP
7/19/2013 0:00,DOWN
7/20/2013 0:00,DOWN
7/21/2013 0:00,UP
7/22/2013 0:00,UP
7/23/2013 0:00,UP
7/24/2013 0:00,UP
7/25/2013 0:00,UP
7/26/2013 0:00,DOWN
7/27/2013 0:00,UP
7/28/2013 0:00,UP
7/29/2013 0:00,UP
7/30/2013 0:00,UP
7/31/2013 0:00,DOWN
8/1/2013 0:00,UP
8/2/2013 0:00,DOWN
8/3/2013 0:00,DOWN
8/4/2013 0:00,UP
8/5/2013 0:00,UP
8/6/2013 0:00,DOWN
8/7/2013 0:00,DOWN
8/8/2013 0:00,DOWN
8/9/2013 0:00,DOWN
8/10/2013 0:00,UP
8/11/2013 0:00,UP
8/12/2013 0:00,UP
8/13/2013 0:00,UP
8/14/2013 0:00,DOWN
8/15/2013 0:00,UP
8/16/2013 0:00,UP
8/17/2013 0:00,DOWN
8/18/2013 0:00,UP
8/19/2013 0:00,UP
8/20/2013 0:00,UP
8/21/2013 0:00,DOWN
8/22/2013 0:00,DOWN
8/23/2013 0:00,UP
8/24/2013 0:00,UP
8/25/2013 0:00,UP
8/26/2013 0:00,UP
8/27/2013 0:00,UP
8/28/2013 0:00,DOWN
8/29/2013 0:00,UP
8/30/2013 0:00,UP
8/31/2013 0:00,DOWN
9/1/2013 0:00,DOWN
9/2/2013 0:00,UP
9/3/2013 0:00,DOWN
9/4/2013 0:00,DOWN
9/5/2013 0:00,DOWN
9/6/2013 0:00,UP
9/7/2013 0:00,DOWN
9/8/2013 0:00,UP
9/9/2013 0:00,UP
9/10/2013 0:00,UP
9/11/2013 0:00,UP
9/12/2013 0:00,UP
9/13/2013 0:00,DOWN
9/14/2013 0:00,UP
9/15/2013 0:00,UP
9/16/2013 0:00,UP
9/17/2013 0:00,UP
9/18/2013 0:00,DOWN
9/19/2013 0:00,DOWN
9/20/2013 0:00,DOWN
9/21/2013 0:00,UP
9/22/2013 0:00,DOWN
9/23/2013 0:00,UP
9/24/2013 0:00,UP
9/25/2013 0:00,UP
9/26/2013 0:00,UP
9/27/2013 0:00,UP
9/28/2013 0:00,UP
9/29/2013 0:00,DOWN
9/30/2013 0:00,UP
