date,from state,to state
5/8/2014 0:00, UP, DOWN
5/19/2014 0:00, UP, DOWN
5/21/2014 0:00, UP, DOWN
5/23/2014 0:00, UP, UP
5/24/2014 0:00, UP, UP
5/25/2014 0:00, UP, DOWN
5/29/2014 0:00, UP, UP
5/30/2014 0:00, UP, DOWN
6/1/2014 0:00, UP, UP
6/2/2014 0:00, UP, DOWN
6/4/2014 0:00, UP, DOWN
6/6/2014 0:00, UP, DOWN
6/12/2014 0:00, UP, DOWN
6/14/2014 0:00, UP, DOWN
6/16/2014 0:00, UP, DOWN
6/21/2014 0:00, UP, DOWN
6/25/2014 0:00, UP, UP
6/26/2014 0:00, UP, DOWN
6/28/2014 0:00, UP, UP
6/29/2014 0:00, UP, DOWN
7/1/2014 0:00, UP, DOWN
7/10/2014 0:00, UP, DOWN
7/16/2014 0:00, UP, DOWN
7/30/2014 0:00, UP, UP
7/31/2014 0:00, UP, DOWN
8/15/2014 0:00, UP, DOWN
8/18/2014 0:00, UP, UP
8/19/2014 0:00, UP, DOWN
8/23/2014 0:00, UP, DOWN
8/25/2014 0:00, UP, DOWN
