date,from state,to state
1/6/2013 0:00, UP, UP
1/7/2013 0:00, UP, DOWN
1/9/2013 0:00, UP, DOWN
1/13/2013 0:00, UP, DOWN
1/15/2013 0:00, UP, UP
1/16/2013 0:00, UP, UP
1/17/2013 0:00, UP, DOWN
1/20/2013 0:00, UP, UP
1/21/2013 0:00, UP, UP
1/22/2013 0:00, UP, DOWN
1/24/2013 0:00, UP, UP
1/25/2013 0:00, UP, DOWN
1/27/2013 0:00, UP, UP
1/28/2013 0:00, UP, DOWN
1/30/2013 0:00, UP, DOWN
2/2/2013 0:00, UP, DOWN
2/5/2013 0:00, UP, UP
2/6/2013 0:00, UP, UP
2/7/2013 0:00, UP, UP
2/8/2013 0:00, UP, UP
2/9/2013 0:00, UP, UP
2/10/2013 0:00, UP, UP
2/11/2013 0:00, UP, DOWN
2/13/2013 0:00, UP, DOWN
2/18/2013 0:00, UP, DOWN
2/21/2013 0:00, UP, DOWN
2/24/2013 0:00, UP, UP
2/25/2013 0:00, UP, DOWN
2/27/2013 0:00, UP, UP
2/28/2013 0:00, UP, DOWN
