date,from state,to state
3/21/20160:00,UP,DOWN
3/26/20160:00,UP,DOWN
4/14/20160:00,UP,DOWN
4/18/20160:00,UP,UP
4/19/20160:00,UP,UP
4/20/20160:00,UP,DOWN
4/22/20160:00,UP,UP
4/23/20160:00,UP,DOWN
4/25/20160:00,UP,DOWN
4/27/20160:00,UP,UP
4/28/20160:00,UP,DOWN
5/2/20160:00,UP,DOWN
5/5/20160:00,UP,DOWN
5/19/20160:00,UP,DOWN
5/22/20160:00,UP,DOWN
5/25/20160:00,UP,UP
5/26/20160:00,UP,UP
5/27/20160:00,UP,DOWN
5/29/20160:00,UP,DOWN
6/2/20160:00,UP,DOWN
6/5/20160:00,UP,DOWN
6/10/20160:00,UP,UP
6/11/20160:00,UP,UP
6/12/20160:00,UP,DOWN
6/14/20160:00,UP,UP
6/15/20160:00,UP,DOWN
6/17/20160:00,UP,UP
6/18/20160:00,UP,DOWN
6/22/20160:00,UP,UP
6/23/20160:00,UP,DOWN
6/26/20160:00,UP,DOWN
6/29/20160:00,UP,DOWN
7/1/20160:00,UP,DOWN
7/3/20160:00,UP,DOWN
7/5/20160:00,UP,DOWN
7/7/20160:00,UP,DOWN
7/11/20160:00,UP,DOWN
7/16/20160:00,UP,DOWN
8/2/20160:00,UP,UP
8/3/20160:00,UP,DOWN
