p,p-value
0.0,0.0
0.01,1e-10
0.02,3.2e-09
0.03,2.43e-08
0.04,1.024e-07
0.05,3.125e-07
0.06,7.776e-07
0.07,1.6807e-06
0.08,3.2768e-06
0.09,5.9049e-06
0.1,1e-05
0.11,1.61051e-05
0.12,2.48832e-05
0.13,3.71293e-05
0.14,5.37824e-05
0.15,7.59375e-05
0.16,0.0001048576
0.17,0.0001419857
0.18,0.0001889568
0.19,0.0002476099
0.2,0.00032
0.21,0.0004084101
0.22,0.0005153632
0.23,0.0006436343
0.24,0.0007962624
0.25,0.0009765625
0.26,0.0011881376
0.27,0.0014348907
0.28,0.0017210368
0.29,0.0020511149
0.3,0.00243
0.31,0.0028629151
0.32,0.0033554432
0.33,0.0039135393
0.34,0.0045435424
0.35,0.0052521875
0.36,0.0060466176
0.37,0.0069343957
0.38,0.0079235168
0.39,0.0090224199
0.4,0.01024
0.41,0.0115856201
0.42,0.0130691232
0.43,0.0147008443
0.44,0.0164916224
0.45,0.0184528125
0.46,0.0205962976
0.47,0.0229345007
0.48,0.0254803968
0.49,0.0282475249
0.5,0.0625
0.51,0.06275005
0.52,0.0635008
0.53,0.06475405
0.54,0.0665128
0.55,0.06878125
0.56,0.0715648
0.57,0.07487005
0.58,0.0787048
0.59,0.08307805
0.6,0.1648
0.61,0.1640420005
0.62,0.164176016
0.63,0.1652141215
0.64,0.167168512
0.65,0.1700515625
0.66,0.173875888
0.67,0.1786544035
0.68,0.184400384
0.69,0.3329624755
0.7,0.33115
0.71,0.3305274745
0.72,0.331139584
0.73,0.3330303535
0.74,0.336243088
0.75,0.3408203125
0.76,0.599653888
0.77,0.5957400285
0.78,0.592834384
0.79,0.5910241495
0.8,0.5904
0.81,0.5910561505
0.82,0.593090416
0.83,0.5966042715
0.84,1.0
0.85,1.0
0.86,1.0
0.87,1.0
0.88,1.0
0.89,1.0
0.9,1.0
0.91,1.0
0.92,1.0
0.93,1.0
0.94,1.0
0.95,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
