p,p-value
0.0,0.0
0.01,1e-60
0.02,1.073741824e-51
0.03,2.05891132095e-46
0.04,1.15292150461e-42
0.05,9.31322574615e-40
0.06,2.21073919721e-37
0.07,2.25393402907e-35
0.08,1.23794003929e-33
0.09,4.23911582752e-32
0.1,1e-30
0.11,1.74494022689e-29
0.12,2.373763138e-28
0.13,2.61999564365e-27
0.14,2.42014323555e-26
0.15,1.91751059233e-25
0.16,1.32922799578e-24
0.17,8.19346572581e-24
0.18,4.55171596079e-23
0.19,2.30466617897e-22
0.2,1.073741824e-21
0.21,4.64065028912e-21
0.22,1.87361530199e-20
0.23,7.10943487912e-20
0.24,2.54880876154e-19
0.25,8.67361737988e-19
0.26,2.81319890128e-18
0.27,8.72796356809e-18
0.28,2.59860901208e-17
0.29,7.44628984417e-17
0.3,2.05891132095e-16
0.31,5.50618520346e-16
0.32,1.42724769271e-15
0.33,3.59267718752e-15
0.34,8.79766683332e-15
0.35,2.09913964297e-14
0.36,4.88736779807e-14
0.37,1.11186413611e-13
0.38,2.47461646672e-13
0.39,5.39433869154e-13
0.4,1.15292150461e-12
0.41,2.41833076929e-12
0.42,4.98286030598e-12
0.43,1.00937761092e-11
0.44,2.01177911183e-11
0.45,3.94798426658e-11
0.46,7.63369757471e-11
0.47,1.45524373433e-10
0.48,2.73676256864e-10
0.49,5.0802186074e-10
0.5,1.86264514923e-09
0.51,2.19498379481e-09
0.52,3.2943255764e-09
0.53,1.04176259505e-08
0.54,1.2136305643e-08
0.55,1.77380963203e-08
0.56,4.2866164354e-08
0.57,5.55778819393e-08
0.58,1.37576048876e-07
0.59,1.65067655202e-07
0.6,3.98007090483e-07
0.61,4.6044724739e-07
0.62,1.0516815762e-06
0.63,1.21022132102e-06
0.64,2.58687772802e-06
0.65,3.02493731305e-06
0.66,6.03555398721e-06
0.67,7.26580517912e-06
0.68,1.35759578817e-05
0.69,2.74900360543e-05
0.7,2.98171756659e-05
0.71,5.58253000495e-05
0.72,0.000110648049629
0.73,0.000112887376295
0.74,0.000206915530841
0.75,0.000394275916265
0.76,0.000391789349387
0.77,0.000694420416775
0.78,0.00126445267221
0.79,0.00125405042313
0.8,0.00213980936801
0.81,0.0037235676436
0.82,0.00374552414362
0.83,0.00615353033293
0.84,0.0102641176403
0.85,0.0172883947943
0.86,0.0167693872944
0.87,0.0269335623135
0.88,0.0436514980954
0.89,0.0710606684471
0.9,0.0682179469371
0.91,0.107116395726
0.92,0.169327749167
0.93,0.268348202315
0.94,0.258875880848
0.95,0.402459950796
0.96,0.632677945962
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
