p,p-value
0.0,0.0
0.01,6.356442016e-61
0.02,2.65065801956e-51
0.03,1.11000920472e-45
0.04,1.07223268344e-41
0.05,1.31280440837e-38
0.06,4.35166493993e-36
0.07,5.8542392074e-34
0.08,4.06995719873e-32
0.09,1.70885023905e-30
0.1,4.819816e-29
0.11,9.85220191912e-28
0.12,1.54365797236e-26
0.13,1.93448717347e-25
0.14,2.00420974526e-24
0.15,1.76226107298e-23
0.16,1.34315491461e-22
0.17,9.02854525783e-22
0.18,5.42954020611e-21
0.19,2.95644336264e-20
0.2,1.472455664e-19
0.21,6.76612486562e-19
0.22,2.88998893859e-18
0.23,1.15481344144e-17
0.24,4.3413964289e-17
0.25,1.54309074199e-16
0.26,5.20819635799e-16
0.27,1.67568251838e-15
0.28,5.15698284063e-15
0.29,1.52276327405e-14
0.3,4.32612022954e-14
0.31,1.18542031801e-13
0.32,3.13998992067e-13
0.33,8.05656428081e-13
0.34,2.00604553161e-12
0.35,4.85549702752e-12
0.36,1.1441906537e-11
0.37,2.62874600852e-11
0.38,5.89587094155e-11
0.39,1.29245375281e-10
0.4,2.77222097158e-10
0.41,5.8240887753e-10
0.42,1.19956515761e-09
0.43,2.4243412391e-09
0.44,6.34826163282e-09
0.45,1.02028934441e-08
0.46,3.12624907292e-08
0.47,4.11503306615e-08
0.48,6.69943712472e-08
0.49,1.49670691361e-07
0.5,4.17698174715e-07
0.51,4.87535941315e-07
0.52,1.21933876055e-06
0.53,1.44940834131e-06
0.54,3.25220839473e-06
0.55,4.02147340976e-06
0.56,8.18564532333e-06
0.57,1.77741816026e-05
0.58,1.98648197132e-05
0.59,3.89512020924e-05
0.6,7.90758931078e-05
0.61,8.48503282501e-05
0.62,0.00015719757317
0.63,0.000296490198838
0.64,0.000316814764192
0.65,0.000552658679048
0.66,0.000972665148451
0.67,0.00105471609341
0.68,0.00173835688632
0.69,0.0028762104793
0.7,0.00475531573876
0.71,0.00499105505902
0.72,0.00782285144669
0.73,0.0122370074658
0.74,0.0190427621009
0.75,0.0293854765565
0.76,0.029501767916
0.77,0.043754289752
0.78,0.0644160162781
0.79,0.0939078070361
0.8,0.135232991653
0.81,0.133899694605
0.82,0.187287562719
0.83,0.259029764359
0.84,0.353329497586
0.85,0.473977841482
0.86,0.469265681401
0.87,0.615740476424
0.88,0.793610566627
0.89,1.0
0.9,1.0
0.91,1.0
0.92,0.756950214508
0.93,0.734141623689
0.94,0.465811499289
0.95,0.25423499877
0.96,0.163467644037
0.97,0.0868957297825
0.98,0.0325387181459
0.99,0.00515370876553
1.0,0.0
