date,from state,to state
9/30/2015 0:00, DOWN, DOWN
10/1/2015 0:00, DOWN, DOWN
10/2/2015 0:00, DOWN, DOWN
10/3/2015 0:00, DOWN, DOWN
10/4/2015 0:00, DOWN, DOWN
10/5/2015 0:00, DOWN, DOWN
10/6/2015 0:00, DOWN, DOWN
10/7/2015 0:00, DOWN, DOWN
10/8/2015 0:00, DOWN, DOWN
10/9/2015 0:00, DOWN, DOWN
10/10/2015 0:00, DOWN, DOWN
10/11/2015 0:00, DOWN, DOWN
10/12/2015 0:00, DOWN, DOWN
10/13/2015 0:00, DOWN, DOWN
10/14/2015 0:00, DOWN, UP
10/17/2015 0:00, DOWN, DOWN
10/18/2015 0:00, DOWN, DOWN
10/19/2015 0:00, DOWN, DOWN
10/20/2015 0:00, DOWN, DOWN
10/21/2015 0:00, DOWN, DOWN
10/22/2015 0:00, DOWN, DOWN
10/23/2015 0:00, DOWN, DOWN
10/24/2015 0:00, DOWN, DOWN
10/25/2015 0:00, DOWN, DOWN
10/26/2015 0:00, DOWN, UP
10/30/2015 0:00, DOWN, UP
11/3/2015 0:00, DOWN, DOWN
11/4/2015 0:00, DOWN, DOWN
11/5/2015 0:00, DOWN, DOWN
11/6/2015 0:00, DOWN, DOWN
