date,from state,to state
7/28/20130:00,DOWN,UP
7/30/20130:00,DOWN,DOWN
7/31/20130:00,DOWN,DOWN
8/1/20130:00,DOWN,DOWN
8/2/20130:00,DOWN,DOWN
8/3/20130:00,DOWN,DOWN
8/4/20130:00,DOWN,DOWN
8/5/20130:00,DOWN,DOWN
8/6/20130:00,DOWN,DOWN
8/7/20130:00,DOWN,DOWN
8/8/20130:00,DOWN,DOWN
8/9/20130:00,DOWN,DOWN
8/10/20130:00,DOWN,DOWN
8/11/20130:00,DOWN,DOWN
8/12/20130:00,DOWN,DOWN
8/13/20130:00,DOWN,DOWN
8/14/20130:00,DOWN,DOWN
8/15/20130:00,DOWN,DOWN
8/16/20130:00,DOWN,DOWN
8/17/20130:00,DOWN,UP
8/19/20130:00,DOWN,UP
8/21/20130:00,DOWN,DOWN
8/22/20130:00,DOWN,DOWN
8/23/20130:00,DOWN,DOWN
8/24/20130:00,DOWN,DOWN
8/25/20130:00,DOWN,UP
8/27/20130:00,DOWN,DOWN
8/28/20130:00,DOWN,UP
8/31/20130:00,DOWN,DOWN
9/1/20130:00,DOWN,DOWN
