date,from state,to state
4/21/2015 0:00, DOWN, DOWN
4/22/2015 0:00, DOWN, DOWN
4/23/2015 0:00, DOWN, DOWN
4/24/2015 0:00, DOWN, DOWN
4/25/2015 0:00, DOWN, UP
4/27/2015 0:00, DOWN, DOWN
4/28/2015 0:00, DOWN, UP
4/30/2015 0:00, DOWN, DOWN
5/1/2015 0:00, DOWN, DOWN
5/2/2015 0:00, DOWN, DOWN
5/3/2015 0:00, DOWN, DOWN
5/4/2015 0:00, DOWN, DOWN
5/5/2015 0:00, DOWN, UP
5/7/2015 0:00, DOWN, DOWN
5/8/2015 0:00, DOWN, DOWN
5/9/2015 0:00, DOWN, DOWN
5/10/2015 0:00, DOWN, DOWN
5/11/2015 0:00, DOWN, DOWN
5/12/2015 0:00, DOWN, DOWN
5/13/2015 0:00, DOWN, DOWN
5/14/2015 0:00, DOWN, DOWN
5/15/2015 0:00, DOWN, DOWN
5/16/2015 0:00, DOWN, DOWN
5/17/2015 0:00, DOWN, DOWN
5/18/2015 0:00, DOWN, DOWN
5/19/2015 0:00, DOWN, DOWN
5/20/2015 0:00, DOWN, DOWN
5/21/2015 0:00, DOWN, DOWN
5/22/2015 0:00, DOWN, DOWN
5/23/2015 0:00, DOWN, DOWN
