date,from state,to state
12/15/20150:00,DOWN,DOWN
12/16/20150:00,DOWN,DOWN
12/17/20150:00,DOWN,DOWN
12/18/20150:00,DOWN,DOWN
12/19/20150:00,DOWN,DOWN
12/20/20150:00,DOWN,DOWN
12/21/20150:00,DOWN,DOWN
12/22/20150:00,DOWN,DOWN
12/23/20150:00,DOWN,DOWN
12/24/20150:00,DOWN,DOWN
12/25/20150:00,DOWN,DOWN
12/26/20150:00,DOWN,DOWN
12/27/20150:00,DOWN,DOWN
12/28/20150:00,DOWN,DOWN
12/29/20150:00,DOWN,DOWN
12/30/20150:00,DOWN,DOWN
12/31/20150:00,DOWN,DOWN
1/1/20160:00,DOWN,DOWN
1/2/20160:00,DOWN,DOWN
1/3/20160:00,DOWN,DOWN
1/4/20160:00,DOWN,DOWN
1/5/20160:00,DOWN,UP
1/7/20160:00,DOWN,DOWN
1/8/20160:00,DOWN,DOWN
1/9/20160:00,DOWN,DOWN
1/10/20160:00,DOWN,DOWN
1/11/20160:00,DOWN,DOWN
1/12/20160:00,DOWN,DOWN
1/13/20160:00,DOWN,DOWN
1/14/20160:00,DOWN,UP
