date,from state,to state
1/20/2014 0:00, DOWN, DOWN
1/21/2014 0:00, DOWN, DOWN
1/22/2014 0:00, DOWN, DOWN
1/23/2014 0:00, DOWN, UP
1/25/2014 0:00, DOWN, DOWN
1/26/2014 0:00, DOWN, DOWN
1/27/2014 0:00, DOWN, DOWN
1/28/2014 0:00, DOWN, DOWN
1/29/2014 0:00, DOWN, DOWN
1/30/2014 0:00, DOWN, DOWN
1/31/2014 0:00, DOWN, DOWN
2/1/2014 0:00, DOWN, DOWN
2/2/2014 0:00, DOWN, DOWN
2/3/2014 0:00, DOWN, DOWN
2/4/2014 0:00, DOWN, DOWN
2/5/2014 0:00, DOWN, DOWN
2/6/2014 0:00, DOWN, DOWN
2/7/2014 0:00, DOWN, DOWN
2/8/2014 0:00, DOWN, DOWN
2/9/2014 0:00, DOWN, DOWN
2/10/2014 0:00, DOWN, DOWN
2/11/2014 0:00, DOWN, DOWN
2/12/2014 0:00, DOWN, UP
2/14/2014 0:00, DOWN, DOWN
2/15/2014 0:00, DOWN, DOWN
2/16/2014 0:00, DOWN, DOWN
2/17/2014 0:00, DOWN, DOWN
2/18/2014 0:00, DOWN, DOWN
2/19/2014 0:00, DOWN, UP
2/22/2014 0:00, DOWN, DOWN
