date,from state,to state
3/20/20150:00,DOWN,UP
3/22/20150:00,DOWN,DOWN
3/23/20150:00,DOWN,DOWN
3/24/20150:00,DOWN,DOWN
3/25/20150:00,DOWN,DOWN
3/26/20150:00,DOWN,DOWN
3/27/20150:00,DOWN,DOWN
3/28/20150:00,DOWN,DOWN
3/29/20150:00,DOWN,DOWN
3/30/20150:00,DOWN,DOWN
3/31/20150:00,DOWN,DOWN
4/1/20150:00,DOWN,DOWN
4/2/20150:00,DOWN,DOWN
4/3/20150:00,DOWN,DOWN
4/4/20150:00,DOWN,DOWN
4/5/20150:00,DOWN,DOWN
4/6/20150:00,DOWN,DOWN
4/7/20150:00,DOWN,DOWN
4/8/20150:00,DOWN,DOWN
4/9/20150:00,DOWN,DOWN
4/10/20150:00,DOWN,DOWN
4/11/20150:00,DOWN,DOWN
4/12/20150:00,DOWN,DOWN
4/13/20150:00,DOWN,DOWN
4/14/20150:00,DOWN,DOWN
4/15/20150:00,DOWN,DOWN
4/16/20150:00,DOWN,DOWN
4/17/20150:00,DOWN,DOWN
4/18/20150:00,DOWN,DOWN
4/19/20150:00,DOWN,UP
