p,p-value
0.0,0.0
0.01,1.31011064672e-45
0.02,3.03627559338e-37
0.03,2.23084734768e-32
0.04,6.04917477079e-29
0.05,2.68827832399e-26
0.06,3.80356140945e-24
0.07,2.44158912655e-22
0.08,8.78489652515e-21
0.09,2.03048953179e-19
0.1,3.30897823959e-18
0.11,4.06301177432e-17
0.12,3.94773088706e-16
0.13,3.15029925564e-15
0.14,2.12528956908e-14
0.15,1.2402158237e-13
0.16,6.37686993805e-13
0.17,2.93294486077e-12
0.18,1.22183541491e-11
0.19,4.65882213433e-11
0.2,1.64033859995e-10
0.21,5.37351588933e-10
0.22,1.64840723389e-09
0.23,4.76196385191e-09
0.24,1.30179833801e-08
0.25,3.38216489856e-08
0.26,8.38252488411e-08
0.27,1.98852490409e-07
0.28,4.52844690438e-07
0.29,1.39449768397e-06
0.3,2.31752087721e-06
0.31,6.68212266506e-06
0.32,9.83456435549e-06
0.33,2.43502107407e-05
0.34,3.5093714656e-05
0.35,7.5456256386e-05
0.36,0.000167167519757
0.37,0.000211223694234
0.38,0.000409914134996
0.39,0.000793371894197
0.4,0.000965171393085
0.41,0.00168814875863
0.42,0.00291740060532
0.43,0.00495096248172
0.44,0.00821091070574
0.45,0.0089328335145
0.46,0.0138758852903
0.47,0.0211504306973
0.48,0.031583563665
0.49,0.0461589393754
0.5,0.0659940344558
0.51,0.0683109100901
0.52,0.0940340405768
0.53,0.127160193804
0.54,0.168896563443
0.55,0.220342990692
0.56,0.282388709209
0.57,0.355604090371
0.58,0.359657503223
0.59,0.442773538031
0.6,0.536886695995
0.61,0.641265828199
0.62,0.754596827693
0.63,0.874983681257
0.64,1.0
0.65,1.0
0.66,0.873619965994
0.67,0.871304330001
0.68,0.743979749343
0.69,0.621383167974
0.7,0.506704065739
0.71,0.402701518983
0.72,0.311462118806
0.73,0.234214220401
0.74,0.221970872401
0.75,0.157338491039
0.76,0.107313360362
0.77,0.0705357732189
0.78,0.0628034034583
0.79,0.0371276937323
0.8,0.0209971852662
0.81,0.0173716947836
0.82,0.0082804156606
0.83,0.00391047489027
0.84,0.00250313527716
0.85,0.000997897448676
0.86,0.000476874009522
0.87,0.000210545965457
0.88,8.48352606421e-05
0.89,3.07155571096e-05
0.9,9.79560219758e-06
0.91,2.68033428332e-06
0.92,6.07273224492e-07
0.93,1.08382061003e-07
0.94,1.41639696051e-08
0.95,1.21026610304e-09
0.96,5.59292784452e-11
0.97,9.79422369921e-13
0.98,2.92432797865e-15
0.99,1.16419127039e-19
1.0,0.0
