p,p-value
0.0,0.0
0.01,1.34684058764e-22
0.02,3.82711658431e-18
0.03,1.45140146972e-15
0.04,9.39394588805e-14
0.05,2.30622171748e-12
0.06,3.06504365043e-11
0.07,2.66599990402e-10
0.08,1.69963675646e-09
0.09,8.54370421832e-09
0.1,3.55947926944e-08
0.11,1.27356275854e-07
0.12,4.0174270461e-07
0.13,1.13978850425e-06
0.14,2.95375426344e-06
0.15,7.07827341995e-06
0.16,1.584080126e-05
0.17,3.33759787327e-05
0.18,6.66505644608e-05
0.19,0.000126858349601
0.2,0.000231225611668
0.21,0.000405236023086
0.22,0.000685239965613
0.23,0.00151465725545
0.24,0.00204624831749
0.25,0.00471393715601
0.26,0.00551535476906
0.27,0.00703855225976
0.28,0.0128485474479
0.29,0.015242061342
0.3,0.0262538788037
0.31,0.0298143355715
0.32,0.0482427400218
0.33,0.053339531204
0.34,0.0814218202095
0.35,0.0884475504269
0.36,0.128213705668
0.37,0.184358099582
0.38,0.190520857416
0.39,0.261427717383
0.4,0.269380269337
0.41,0.355231450969
0.42,0.459920063692
0.43,0.464793404559
0.44,0.582391363131
0.45,0.587843522481
0.46,0.716017543108
0.47,0.855317483553
0.48,0.856760449167
0.49,1.0
0.5,1.0
0.51,1.0
0.52,0.856760449167
0.53,0.855317483553
0.54,0.716017543108
0.55,0.587843522481
0.56,0.582391363131
0.57,0.464793404559
0.58,0.459920063692
0.59,0.355231450969
0.6,0.269380269337
0.61,0.261427717383
0.62,0.190520857416
0.63,0.184358099582
0.64,0.128213705668
0.65,0.0884475504269
0.66,0.0814218202095
0.67,0.053339531204
0.68,0.0482427400218
0.69,0.0298143355715
0.7,0.0262538788037
0.71,0.015242061342
0.72,0.0128485474479
0.73,0.00703855225976
0.74,0.00551535476906
0.75,0.00471393715601
0.76,0.00204624831749
0.77,0.00151465725545
0.78,0.000685239965613
0.79,0.000405236023086
0.8,0.000231225611668
0.81,0.000126858349601
0.82,6.66505644608e-05
0.83,3.33759787327e-05
0.84,1.584080126e-05
0.85,7.07827341995e-06
0.86,2.95375426344e-06
0.87,1.13978850425e-06
0.88,4.0174270461e-07
0.89,1.27356275854e-07
0.9,3.55947926944e-08
0.91,8.54370421832e-09
0.92,1.69963675646e-09
0.93,2.66599990402e-10
0.94,3.06504365043e-11
0.95,2.30622171748e-12
0.96,9.39394588805e-14
0.97,1.45140146972e-15
0.98,3.82711658431e-18
0.99,1.34684058764e-22
1.0,0.0
