p,p-value
0.0,0.0
0.01,4.266406e-54
0.02,1.12303301617e-45
0.03,9.38326872801e-41
0.04,2.89707268599e-37
0.05,1.46782025695e-34
0.06,2.37078197682e-32
0.07,1.73962032264e-30
0.08,7.16454702886e-29
0.09,1.89812220336e-27
0.1,3.5506e-26
0.11,5.01147698422e-25
0.12,5.60548339951e-24
0.13,5.15722733024e-23
0.14,4.0174081366e-22
0.15,2.71123214351e-21
0.16,1.6147710923e-20
0.17,8.61684393021e-20
0.18,4.17176568552e-19
0.19,1.8517552244e-18
0.2,7.60316585574e-18
0.21,2.90966247604e-17
0.22,1.04461950142e-16
0.23,3.53828644696e-16
0.24,1.13628018597e-15
0.25,3.47465112238e-15
0.26,1.01560475412e-14
0.27,2.84703298187e-14
0.28,7.67751077693e-14
0.29,1.99699222876e-13
0.3,5.02237101556e-13
0.31,1.22394647464e-12
0.32,2.89595247074e-12
0.33,6.66454484621e-12
0.34,1.49418477594e-11
0.35,3.26840326368e-11
0.36,6.98477263793e-11
0.37,1.46013506939e-10
0.38,2.98918588415e-10
0.39,5.99912172883e-10
0.4,1.18145631185e-09
0.41,2.28523769803e-09
0.42,4.3449863928e-09
0.43,8.12684907039e-09
0.44,1.49638125491e-08
0.45,4.33926829711e-08
0.46,5.78973643652e-08
0.47,9.09148712034e-08
0.48,2.3555498503e-07
0.49,3.06079535947e-07
0.5,8.67992639542e-07
0.51,9.8348133818e-07
0.52,1.35516133637e-06
0.53,2.91026284245e-06
0.54,3.75699345674e-06
0.55,7.88158620444e-06
0.56,9.80862576187e-06
0.57,1.97132303953e-05
0.58,2.41750893768e-05
0.59,4.6159328338e-05
0.6,9.67085357166e-05
0.61,0.000102525332134
0.62,0.000199546174719
0.63,0.000218381964935
0.64,0.000397530014815
0.65,0.000449756122992
0.66,0.000771433361345
0.67,0.0013748360324
0.68,0.00146655519601
0.69,0.00246339222014
0.7,0.00423786889954
0.71,0.00437019998051
0.72,0.00712033958251
0.73,0.0117619755714
0.74,0.0119263300943
0.75,0.0187750627148
0.76,0.029762575097
0.77,0.0299756579569
0.78,0.0455658009557
0.79,0.0694162218027
0.8,0.0697952404873
0.81,0.102532477211
0.82,0.150403518155
0.83,0.218903056521
0.84,0.214906417127
0.85,0.303981568086
0.86,0.424997349901
0.87,0.420113844362
0.88,0.572923227284
0.89,0.767600992783
0.9,0.763912067768
0.91,1.0
0.92,1.0
0.93,1.0
0.94,0.700787137128
0.95,0.661096688511
0.96,0.338820302731
0.97,0.226924517345
0.98,0.120545689159
0.99,0.0361479983122
1.0,0.0
