date,from state,to state
7/12/20130:00,UP,DOWN
7/14/20130:00,UP,DOWN
7/18/20130:00,UP,DOWN
7/21/20130:00,UP,UP
7/22/20130:00,UP,UP
7/23/20130:00,UP,UP
7/24/20130:00,UP,UP
7/25/20130:00,UP,DOWN
7/27/20130:00,UP,UP
7/28/20130:00,UP,UP
7/29/20130:00,UP,UP
7/30/20130:00,UP,DOWN
8/1/20130:00,UP,DOWN
8/4/20130:00,UP,UP
8/5/20130:00,UP,DOWN
8/10/20130:00,UP,UP
8/11/20130:00,UP,UP
8/12/20130:00,UP,UP
8/13/20130:00,UP,DOWN
8/15/20130:00,UP,UP
8/16/20130:00,UP,DOWN
8/18/20130:00,UP,UP
8/19/20130:00,UP,UP
8/20/20130:00,UP,DOWN
8/23/20130:00,UP,UP
8/24/20130:00,UP,UP
8/25/20130:00,UP,UP
8/26/20130:00,UP,UP
8/27/20130:00,UP,DOWN
8/29/20130:00,UP,UP
