date,from state,to state
5/12/20140:00,DOWN,DOWN
5/13/20140:00,DOWN,DOWN
5/14/20140:00,DOWN,DOWN
5/15/20140:00,DOWN,DOWN
5/16/20140:00,DOWN,DOWN
5/17/20140:00,DOWN,DOWN
5/18/20140:00,DOWN,UP
5/20/20140:00,DOWN,UP
5/22/20140:00,DOWN,DOWN
5/23/20140:00,DOWN,UP
5/25/20140:00,DOWN,DOWN
5/26/20140:00,DOWN,DOWN
5/27/20140:00,DOWN,DOWN
5/28/20140:00,DOWN,UP
5/30/20140:00,DOWN,DOWN
5/31/20140:00,DOWN,UP
6/2/20140:00,DOWN,DOWN
6/3/20140:00,DOWN,DOWN
6/4/20140:00,DOWN,DOWN
6/5/20140:00,DOWN,DOWN
6/6/20140:00,DOWN,DOWN
6/7/20140:00,DOWN,DOWN
6/8/20140:00,DOWN,DOWN
6/9/20140:00,DOWN,DOWN
6/10/20140:00,DOWN,DOWN
6/11/20140:00,DOWN,DOWN
6/12/20140:00,DOWN,DOWN
6/13/20140:00,DOWN,DOWN
6/14/20140:00,DOWN,DOWN
6/15/20140:00,DOWN,DOWN
