date,from state,to state
11/16/2015 0:00, DOWN, DOWN
11/17/2015 0:00, DOWN, DOWN
11/18/2015 0:00, DOWN, DOWN
11/19/2015 0:00, DOWN, DOWN
11/20/2015 0:00, DOWN, DOWN
11/21/2015 0:00, DOWN, DOWN
11/22/2015 0:00, DOWN, DOWN
11/23/2015 0:00, DOWN, DOWN
11/24/2015 0:00, DOWN, UP
11/26/2015 0:00, DOWN, DOWN
11/27/2015 0:00, DOWN, DOWN
11/28/2015 0:00, DOWN, DOWN
11/29/2015 0:00, DOWN, DOWN
11/30/2015 0:00, DOWN, DOWN
12/1/2015 0:00, DOWN, DOWN
12/2/2015 0:00, DOWN, DOWN
12/3/2015 0:00, DOWN, UP
12/5/2015 0:00, DOWN, DOWN
12/6/2015 0:00, DOWN, UP
12/8/2015 0:00, DOWN, DOWN
12/9/2015 0:00, DOWN, UP
12/11/2015 0:00, DOWN, DOWN
12/12/2015 0:00, DOWN, DOWN
12/13/2015 0:00, DOWN, UP
12/15/2015 0:00, DOWN, DOWN
12/16/2015 0:00, DOWN, DOWN
12/17/2015 0:00, DOWN, DOWN
12/18/2015 0:00, DOWN, DOWN
12/19/2015 0:00, DOWN, DOWN
12/20/2015 0:00, DOWN, DOWN
