date,from state,to state
5/9/20150:00,DOWN,DOWN
5/10/20150:00,DOWN,DOWN
5/11/20150:00,DOWN,DOWN
5/12/20150:00,DOWN,DOWN
5/13/20150:00,DOWN,DOWN
5/14/20150:00,DOWN,DOWN
5/15/20150:00,DOWN,DOWN
5/16/20150:00,DOWN,DOWN
5/17/20150:00,DOWN,DOWN
5/18/20150:00,DOWN,DOWN
5/19/20150:00,DOWN,DOWN
5/20/20150:00,DOWN,DOWN
5/21/20150:00,DOWN,DOWN
5/22/20150:00,DOWN,DOWN
5/23/20150:00,DOWN,DOWN
5/24/20150:00,DOWN,DOWN
5/25/20150:00,DOWN,DOWN
5/26/20150:00,DOWN,DOWN
5/27/20150:00,DOWN,DOWN
5/28/20150:00,DOWN,DOWN
5/29/20150:00,DOWN,DOWN
5/30/20150:00,DOWN,DOWN
5/31/20150:00,DOWN,DOWN
6/1/20150:00,DOWN,DOWN
6/2/20150:00,DOWN,DOWN
6/3/20150:00,DOWN,DOWN
6/4/20150:00,DOWN,DOWN
6/5/20150:00,DOWN,DOWN
6/6/20150:00,DOWN,DOWN
6/7/20150:00,DOWN,DOWN
