date,from state,to state
3/25/20160:00,DOWN,DOWN
3/26/20160:00,DOWN,DOWN
3/27/20160:00,DOWN,DOWN
3/28/20160:00,DOWN,DOWN
3/29/20160:00,DOWN,DOWN
3/30/20160:00,DOWN,DOWN
3/31/20160:00,DOWN,DOWN
4/1/20160:00,DOWN,DOWN
4/2/20160:00,DOWN,DOWN
4/3/20160:00,DOWN,DOWN
4/4/20160:00,DOWN,DOWN
4/5/20160:00,DOWN,DOWN
4/6/20160:00,DOWN,DOWN
4/7/20160:00,DOWN,DOWN
4/8/20160:00,DOWN,DOWN
4/9/20160:00,DOWN,DOWN
4/10/20160:00,DOWN,DOWN
4/11/20160:00,DOWN,DOWN
4/12/20160:00,DOWN,DOWN
4/13/20160:00,DOWN,DOWN
4/14/20160:00,DOWN,DOWN
4/15/20160:00,DOWN,DOWN
4/16/20160:00,DOWN,DOWN
4/17/20160:00,DOWN,DOWN
4/18/20160:00,DOWN,DOWN
4/19/20160:00,DOWN,DOWN
4/20/20160:00,DOWN,DOWN
4/21/20160:00,DOWN,DOWN
4/22/20160:00,DOWN,DOWN
4/23/20160:00,DOWN,DOWN
