date,from state,to state
5/18/20160:00,DOWN,DOWN
5/19/20160:00,DOWN,DOWN
5/20/20160:00,DOWN,DOWN
5/21/20160:00,DOWN,DOWN
5/22/20160:00,DOWN,DOWN
5/23/20160:00,DOWN,DOWN
5/24/20160:00,DOWN,DOWN
5/25/20160:00,DOWN,DOWN
5/26/20160:00,DOWN,UP
5/28/20160:00,DOWN,DOWN
5/29/20160:00,DOWN,DOWN
5/30/20160:00,DOWN,DOWN
5/31/20160:00,DOWN,DOWN
6/1/20160:00,DOWN,UP
6/3/20160:00,DOWN,DOWN
6/4/20160:00,DOWN,DOWN
6/5/20160:00,DOWN,DOWN
6/6/20160:00,DOWN,DOWN
6/7/20160:00,DOWN,DOWN
6/8/20160:00,DOWN,DOWN
6/9/20160:00,DOWN,UP
6/12/20160:00,DOWN,DOWN
6/13/20160:00,DOWN,DOWN
6/14/20160:00,DOWN,UP
6/16/20160:00,DOWN,DOWN
6/17/20160:00,DOWN,DOWN
6/18/20160:00,DOWN,DOWN
6/19/20160:00,DOWN,DOWN
6/20/20160:00,DOWN,DOWN
6/21/20160:00,DOWN,DOWN
