date,from state,to state
9/12/2013 0:00, DOWN, DOWN
9/13/2013 0:00, DOWN, DOWN
9/14/2013 0:00, DOWN, DOWN
9/15/2013 0:00, DOWN, DOWN
9/16/2013 0:00, DOWN, DOWN
9/17/2013 0:00, DOWN, DOWN
9/18/2013 0:00, DOWN, DOWN
9/19/2013 0:00, DOWN, DOWN
9/20/2013 0:00, DOWN, DOWN
9/21/2013 0:00, DOWN, DOWN
9/22/2013 0:00, DOWN, DOWN
9/23/2013 0:00, DOWN, DOWN
9/24/2013 0:00, DOWN, DOWN
9/25/2013 0:00, DOWN, DOWN
9/26/2013 0:00, DOWN, DOWN
9/27/2013 0:00, DOWN, DOWN
9/28/2013 0:00, DOWN, DOWN
9/29/2013 0:00, DOWN, DOWN
9/30/2013 0:00, DOWN, DOWN
10/1/2013 0:00, DOWN, UP
10/3/2013 0:00, DOWN, DOWN
10/4/2013 0:00, DOWN, DOWN
10/5/2013 0:00, DOWN, DOWN
10/6/2013 0:00, DOWN, DOWN
10/7/2013 0:00, DOWN, DOWN
10/8/2013 0:00, DOWN, DOWN
10/9/2013 0:00, DOWN, DOWN
10/10/2013 0:00, DOWN, DOWN
10/11/2013 0:00, DOWN, DOWN
10/12/2013 0:00, DOWN, DOWN
