date,from state,to state
3/9/2015 0:00, DOWN, DOWN
3/10/2015 0:00, DOWN, DOWN
3/11/2015 0:00, DOWN, DOWN
3/12/2015 0:00, DOWN, DOWN
3/13/2015 0:00, DOWN, DOWN
3/14/2015 0:00, DOWN, DOWN
3/15/2015 0:00, DOWN, DOWN
3/16/2015 0:00, DOWN, DOWN
3/17/2015 0:00, DOWN, DOWN
3/18/2015 0:00, DOWN, DOWN
3/19/2015 0:00, DOWN, DOWN
3/20/2015 0:00, DOWN, DOWN
3/21/2015 0:00, DOWN, DOWN
3/22/2015 0:00, DOWN, DOWN
3/23/2015 0:00, DOWN, DOWN
3/24/2015 0:00, DOWN, DOWN
3/25/2015 0:00, DOWN, DOWN
3/26/2015 0:00, DOWN, DOWN
3/27/2015 0:00, DOWN, DOWN
3/28/2015 0:00, DOWN, DOWN
3/29/2015 0:00, DOWN, DOWN
3/30/2015 0:00, DOWN, DOWN
3/31/2015 0:00, DOWN, DOWN
4/1/2015 0:00, DOWN, DOWN
4/2/2015 0:00, DOWN, DOWN
4/3/2015 0:00, DOWN, DOWN
4/4/2015 0:00, DOWN, DOWN
4/5/2015 0:00, DOWN, DOWN
4/6/2015 0:00, DOWN, DOWN
4/7/2015 0:00, DOWN, DOWN
