p,p-value
0.0,0.0
0.01,1e-08
0.02,1.6e-07
0.03,8.1e-07
0.04,2.56e-06
0.05,6.25e-06
0.06,1.296e-05
0.07,2.401e-05
0.08,4.096e-05
0.09,6.561e-05
0.1,0.0001
0.11,0.00014641
0.12,0.00020736
0.13,0.00028561
0.14,0.00038416
0.15,0.00050625
0.16,0.00065536
0.17,0.00083521
0.18,0.00104976
0.19,0.00130321
0.2,0.0016
0.21,0.00194481
0.22,0.00234256
0.23,0.00279841
0.24,0.00331776
0.25,0.00390625
0.26,0.00456976
0.27,0.00531441
0.28,0.00614656
0.29,0.00707281
0.3,0.0081
0.31,0.00923521
0.32,0.01048576
0.33,0.01185921
0.34,0.01336336
0.35,0.01500625
0.36,0.01679616
0.37,0.01874161
0.38,0.02085136
0.39,0.02313441
0.4,0.0256
0.41,0.02825761
0.42,0.03111696
0.43,0.03418801
0.44,0.03748096
0.45,0.04100625
0.46,0.04477456
0.47,0.04879681
0.48,0.05308416
0.49,0.05764801
0.5,0.125
0.51,0.12530002
0.52,0.12620032
0.53,0.12770162
0.54,0.12980512
0.55,0.1325125
0.56,0.13582592
0.57,0.13974802
0.58,0.14428192
0.59,0.14943122
0.6,0.1552
0.61,0.16159282
0.62,0.30469728
0.63,0.30391678
0.64,0.30400768
0.65,0.3049875
0.66,0.30687328
0.67,0.30968158
0.68,0.31342848
0.69,0.31812958
0.7,0.3238
0.71,0.33045438
0.72,0.58196224
0.73,0.57986164
0.74,0.57856704
0.75,0.578125
0.76,0.57858304
0.77,0.57998964
0.78,0.58239424
0.79,0.58584724
0.8,1.0
0.81,1.0
0.82,1.0
0.83,1.0
0.84,1.0
0.85,1.0
0.86,1.0
0.87,1.0
0.88,1.0
0.89,1.0
0.9,1.0
0.91,1.0
0.92,1.0
0.93,1.0
0.94,1.0
0.95,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
