date,from state,to state
11/12/20140:00,DOWN,DOWN
11/13/20140:00,DOWN,DOWN
11/14/20140:00,DOWN,UP
11/16/20140:00,DOWN,DOWN
11/17/20140:00,DOWN,UP
11/19/20140:00,DOWN,DOWN
11/20/20140:00,DOWN,DOWN
11/21/20140:00,DOWN,UP
11/24/20140:00,DOWN,DOWN
11/25/20140:00,DOWN,DOWN
11/26/20140:00,DOWN,UP
11/28/20140:00,DOWN,DOWN
11/29/20140:00,DOWN,DOWN
11/30/20140:00,DOWN,DOWN
12/1/20140:00,DOWN,DOWN
12/2/20140:00,DOWN,DOWN
12/3/20140:00,DOWN,UP
12/5/20140:00,DOWN,DOWN
12/6/20140:00,DOWN,DOWN
12/7/20140:00,DOWN,DOWN
12/8/20140:00,DOWN,DOWN
12/9/20140:00,DOWN,DOWN
12/10/20140:00,DOWN,UP
12/12/20140:00,DOWN,UP
12/14/20140:00,DOWN,DOWN
12/15/20140:00,DOWN,DOWN
12/16/20140:00,DOWN,DOWN
12/17/20140:00,DOWN,UP
12/20/20140:00,DOWN,UP
12/23/20140:00,DOWN,DOWN
