date,from state,to state
6/21/20130:00,DOWN,DOWN
6/22/20130:00,DOWN,DOWN
6/23/20130:00,DOWN,UP
6/25/20130:00,DOWN,DOWN
6/26/20130:00,DOWN,DOWN
6/27/20130:00,DOWN,DOWN
6/28/20130:00,DOWN,UP
6/30/20130:00,DOWN,UP
7/2/20130:00,DOWN,UP
7/4/20130:00,DOWN,DOWN
7/5/20130:00,DOWN,UP
7/8/20130:00,DOWN,UP
7/11/20130:00,DOWN,UP
7/13/20130:00,DOWN,UP
7/15/20130:00,DOWN,DOWN
7/16/20130:00,DOWN,DOWN
7/17/20130:00,DOWN,DOWN
7/18/20130:00,DOWN,DOWN
7/19/20130:00,DOWN,DOWN
7/20/20130:00,DOWN,DOWN
7/21/20130:00,DOWN,DOWN
7/22/20130:00,DOWN,DOWN
7/23/20130:00,DOWN,UP
7/26/20130:00,DOWN,UP
7/31/20130:00,DOWN,DOWN
8/1/20130:00,DOWN,DOWN
8/2/20130:00,DOWN,DOWN
8/3/20130:00,DOWN,DOWN
8/4/20130:00,DOWN,DOWN
8/5/20130:00,DOWN,DOWN
