p,p-value
0.0,0.0
0.01,0.00331770931888
0.02,0.0217178345436
0.03,0.0600690945211
0.04,0.116896561749
0.05,0.187821186853
0.06,0.423856083193
0.07,0.464620842545
0.08,0.730394717912
0.09,0.748734269198
0.1,1.0
0.11,1.0
0.12,1.0
0.13,0.790538705253
0.14,0.791406062807
0.15,0.611084197454
0.16,0.464105188675
0.17,0.464207724554
0.18,0.343847271956
0.19,0.25196992903
0.2,0.251361560308
0.21,0.179074655951
0.22,0.126766318746
0.23,0.125978804924
0.24,0.0863377851712
0.25,0.0590429666037
0.26,0.0583137633363
0.27,0.0384163058471
0.28,0.0253793108863
0.29,0.0247852924817
0.3,0.0156869136885
0.31,0.0100229367054
0.32,0.00958948830026
0.33,0.00583758906269
0.34,0.00362134196655
0.35,0.00334352095937
0.36,0.00196794413188
0.37,0.0018798149114
0.38,0.00104228979698
0.39,0.00060076362822
0.4,0.000535595186818
0.41,0.000290991133813
0.42,0.000265111931603
0.43,0.000134939442091
0.44,0.000125102516037
0.45,5.93636637283e-05
0.46,3.12495613476e-05
0.47,2.45040017509e-05
0.48,1.24136991371e-05
0.49,9.38353723932e-06
0.5,8.43033194542e-06
0.51,3.30905833303e-06
0.52,2.76785980251e-06
0.53,1.08043883344e-06
0.54,7.98775320163e-07
0.55,3.36045004765e-07
0.56,2.1125464553e-07
0.57,1.51032930133e-07
0.58,5.76221204831e-08
0.59,3.15433430878e-08
0.6,1.69793632287e-08
0.61,8.98021916661e-09
0.62,4.66265199839e-09
0.63,2.37441905857e-09
0.64,1.18474146456e-09
0.65,5.78571722728e-10
0.66,2.76211279295e-10
0.67,1.28739568859e-10
0.68,5.84994597596e-11
0.69,2.58752017655e-11
0.7,1.11214916472e-11
0.71,4.63626600312e-12
0.72,1.87064263836e-12
0.73,7.28822125057e-13
0.74,2.73486804766e-13
0.75,9.85548448407e-14
0.76,3.3996490343e-14
0.77,1.11843604378e-14
0.78,3.49463778456e-15
0.79,1.03215975037e-15
0.8,2.86604241404e-16
0.81,7.43501375134e-17
0.82,1.78884768687e-17
0.83,3.9576855936e-18
0.84,7.97062096923e-19
0.85,1.44371091154e-19
0.86,2.31777878285e-20
0.87,3.23983648122e-21
0.88,3.85679073648e-22
0.89,3.80242340489e-23
0.9,2.995246e-24
0.91,1.79807141384e-25
0.92,7.71561882272e-27
0.93,2.16335786856e-28
0.94,3.47509240209e-30
0.95,2.60818246752e-32
0.96,6.49979340001e-35
0.97,2.83501210369e-38
0.98,5.14001119534e-43
0.99,3.943680346e-51
1.0,0.0
