date,from state,to state
5/11/2016 0:00, UP, UP
5/12/2016 0:00, UP, UP
5/13/2016 0:00, UP, UP
5/14/2016 0:00, UP, DOWN
5/17/2016 0:00, UP, DOWN
5/19/2016 0:00, UP, UP
5/20/2016 0:00, UP, DOWN
5/22/2016 0:00, UP, UP
5/23/2016 0:00, UP, UP
5/24/2016 0:00, UP, UP
5/25/2016 0:00, UP, UP
5/26/2016 0:00, UP, UP
5/27/2016 0:00, UP, DOWN
5/29/2016 0:00, UP, DOWN
5/31/2016 0:00, UP, UP
6/1/2016 0:00, UP, UP
6/2/2016 0:00, UP, UP
6/3/2016 0:00, UP, UP
6/4/2016 0:00, UP, UP
6/5/2016 0:00, UP, DOWN
6/7/2016 0:00, UP, DOWN
6/9/2016 0:00, UP, UP
6/10/2016 0:00, UP, UP
6/11/2016 0:00, UP, UP
6/12/2016 0:00, UP, DOWN
6/14/2016 0:00, UP, UP
6/15/2016 0:00, UP, DOWN
6/17/2016 0:00, UP, UP
6/18/2016 0:00, UP, DOWN
6/22/2016 0:00, UP, UP
6/23/2016 0:00, UP, UP
6/24/2016 0:00, UP, DOWN
6/26/2016 0:00, UP, DOWN
6/29/2016 0:00, UP, UP
6/30/2016 0:00, UP, UP
7/1/2016 0:00, UP, DOWN
7/3/2016 0:00, UP, DOWN
7/5/2016 0:00, UP, DOWN
7/7/2016 0:00, UP, DOWN
7/11/2016 0:00, UP, DOWN
7/13/2016 0:00, UP, UP
7/14/2016 0:00, UP, DOWN
7/16/2016 0:00, UP, DOWN
7/18/2016 0:00, UP, DOWN
7/22/2016 0:00, UP, UP
7/23/2016 0:00, UP, DOWN
7/26/2016 0:00, UP, UP
7/27/2016 0:00, UP, UP
7/28/2016 0:00, UP, DOWN
8/2/2016 0:00, UP, UP
8/3/2016 0:00, UP, DOWN
8/5/2016 0:00, UP, UP
