p,p-value
0.0,0.0
0.01,2.50326600024e-13
0.02,2.13271716902e-10
0.03,1.02178645767e-08
0.04,1.50538098491e-07
0.05,1.16152139687e-06
0.06,5.94976348148e-06
0.07,2.29617615073e-05
0.08,7.20010307174e-05
0.09,0.000192598991725
0.1,0.000454355114905
0.11,0.000967980323711
0.12,0.00189529347804
0.13,0.00345625182391
0.14,0.00593127772386
0.15,0.00965763519955
0.16,0.020369621516
0.17,0.0261661425396
0.18,0.0520116115539
0.19,0.0595217300005
0.2,0.105266133441
0.21,0.114343198917
0.22,0.182215008362
0.23,0.192792468936
0.24,0.282691243017
0.25,0.294462962615
0.26,0.404341224137
0.27,0.416539740544
0.28,0.542871227462
0.29,0.687441975592
0.3,0.692568022946
0.31,0.843815014923
0.32,0.847035693472
0.33,1.0
0.34,1.0
0.35,1.0
0.36,0.850666669922
0.37,0.85034227467
0.38,0.708235510054
0.39,0.579229610203
0.4,0.576967459601
0.41,0.460585498514
0.42,0.362011627932
0.43,0.357441310238
0.44,0.273177812258
0.45,0.270649504686
0.46,0.200440126403
0.47,0.146650804099
0.48,0.142851672307
0.49,0.10075154965
0.5,0.0987371467054
0.51,0.0667783268396
0.52,0.0450018416176
0.53,0.042553704493
0.54,0.0273565029902
0.55,0.025940642002
0.56,0.0158002510428
0.57,0.00982456282433
0.58,0.00860019056993
0.59,0.00508689681535
0.6,0.00436395667419
0.61,0.00245340021285
0.62,0.0020362322775
0.63,0.00109398954985
0.64,0.000860573928723
0.65,0.000757554891998
0.66,0.000326108146385
0.67,0.000261433881956
0.68,0.000112129976911
0.69,7.68639106024e-05
0.7,5.94094210595e-05
0.71,2.13307518081e-05
0.72,1.20311659783e-05
0.73,6.60453803531e-06
0.74,3.52199266153e-06
0.75,1.82064336183e-06
0.76,9.1015610562e-07
0.77,4.38824696509e-07
0.78,2.03433100065e-07
0.79,9.0363068987e-08
0.8,3.83052374137e-08
0.81,1.54245263055e-08
0.82,5.86829391769e-09
0.83,2.09611021945e-09
0.84,6.97706169476e-10
0.85,2.14491251399e-10
0.86,6.02478492855e-11
0.87,1.52594762618e-11
0.88,3.42842497096e-12
0.89,6.69323054678e-13
0.9,1.10565383231e-13
0.91,1.49224617718e-14
0.92,1.56929349601e-15
0.93,1.20318164853e-16
0.94,6.10129082002e-18
0.95,1.75951021288e-19
0.96,2.24059455023e-21
0.97,7.84052093518e-24
0.98,2.59937186129e-27
0.99,2.73034132709e-33
1.0,0.0
