p,p-value
0.0,0.0
0.01,0.0956179249912
0.02,0.182927193112
0.03,0.262575873105
0.04,0.335167364008
0.05,0.401263060762
0.06,0.461384885905
0.07,0.516017692821
0.08,0.565611545776
0.09,0.610583881882
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,0.698976870321
0.2,0.698010112
0.21,0.698929756674
0.22,0.701589090065
0.23,0.471518116692
0.24,0.468555179379
0.25,0.468150138855
0.26,0.470179877536
0.27,0.305612686431
0.28,0.301152480426
0.29,0.299163429933
0.3,0.2995766785
0.31,0.189473110577
0.32,0.184332850278
0.33,0.181210398289
0.34,0.180074411213
0.35,0.18088851845
0.36,0.106918699288
0.37,0.10331964133
0.38,0.101163979684
0.39,0.100435515201
0.4,0.0586519552
0.41,0.0552032165207
0.42,0.0526913033752
0.43,0.0511012456498
0.44,0.0504225095533
0.45,0.0277593510725
0.46,0.0254721667425
0.47,0.0237151464149
0.48,0.0224718983171
0.49,0.0217306655987
0.5,0.021484375
0.51,0.0102932562506
0.52,0.00912835007567
0.53,0.00820625753346
0.54,0.00751235954589
0.55,0.00703520144453
0.56,0.0067665108016
0.57,0.00308089271117
0.58,0.00252949600754
0.59,0.00206578000603
0.6,0.0016777216
0.61,0.00135464706392
0.62,0.00108712194631
0.63,0.000866844804433
0.64,0.000686545307078
0.65,0.000539887124902
0.66,0.000421375929799
0.67,0.000326272735346
0.68,0.000250512729272
0.69,0.000190629675778
0.7,0.0001436859
0.71,0.000107207808762
0.72,7.91268505315e-05
0.73,5.77257729614e-05
0.74,4.1589998181e-05
0.75,2.95639038086e-05
0.76,2.07117711154e-05
0.77,1.42831406054e-05
0.78,9.68229912669e-06
0.79,6.44161117777e-06
0.8,4.1984e-06
0.81,2.67508101459e-06
0.82,1.66225085328e-06
0.83,1.00443931393e-06
0.84,5.8823872086e-07
0.85,3.32535058594e-07
0.86,1.80577548892e-07
0.87,9.36377294636e-08
0.88,4.60252407398e-08
0.89,2.12451086959e-08
0.9,9.1e-09
0.91,3.56039429391e-09
0.92,1.24554051584e-09
0.93,3.7811329759e-10
0.94,9.533500416e-11
0.95,1.865234375e-11
0.96,2.52706816e-12
0.97,1.9151559e-13
0.98,5.02784e-15
0.99,9.91e-18
1.0,0.0
