p,p-value
0.0,0.0
0.01,0.0864827525164
0.02,0.16625223787
0.03,0.239768941345
0.04,0.307466004176
0.05,0.369750590275
0.06,0.427005197771
0.07,0.479588917012
0.08,0.527838636713
0.09,0.57207019987
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,0.695118740936
0.22,0.693937528272
0.23,0.694371922906
0.24,0.69631724536
0.25,0.466064453125
0.26,0.461854608484
0.27,0.459860300877
0.28,0.460005292452
0.29,0.462200164822
0.3,0.294811894
0.31,0.290330412952
0.32,0.287935267395
0.33,0.28758456396
0.34,0.289227365479
0.35,0.174673229266
0.36,0.170427032418
0.37,0.167845856985
0.38,0.16691157026
0.39,0.16760310125
0.4,0.095578624
0.41,0.0918166311114
0.42,0.0892157547687
0.43,0.0877661771416
0.44,0.0874598389779
0.45,0.0475977791406
0.46,0.0445026476141
0.47,0.0421127268466
0.48,0.0404150173106
0.49,0.039400157458
0.5,0.0390625
0.51,0.0192164939024
0.52,0.017320414585
0.53,0.0157768778026
0.54,0.0145696356197
0.55,0.0136855342949
0.56,0.0131145959948
0.57,0.00649863935435
0.58,0.00546101572598
0.59,0.00456737723106
0.6,0.003801088
0.61,0.00314698144516
0.62,0.00259128411454
0.63,0.00212153759017
0.64,0.00172651926336
0.65,0.00139616274219
0.66,0.00112147857227
0.67,0.000894475881201
0.68,0.000708085488288
0.69,0.000556084956412
0.7,0.000433026
0.71,0.000334164603858
0.72,0.000255394150875
0.73,0.000193181802953
0.74,0.000144508328687
0.75,0.000106811523438
0.76,7.79333224366e-05
0.77,5.60706654612e-05
0.78,3.97301324401e-05
0.79,2.76863330523e-05
0.8,1.8944e-05
0.81,1.27037051547e-05
0.82,8.33109019546e-06
0.83,5.32947868492e-06
0.84,3.31571475251e-06
0.85,1.9990546875e-06
0.86,1.16292177613e-06
0.87,6.49321653916e-07
0.88,3.45705283584e-07
0.89,1.74059411372e-07
0.9,8.2e-08
0.91,3.5642684988e-08
0.92,1.4025752576e-08
0.93,4.865492044e-09
0.94,1.431032832e-09
0.95,3.359375e-10
0.96,5.6885248e-11
0.97,5.747436e-12
0.98,2.26304e-13
0.99,8.92e-16
1.0,0.0
