date,from state,to state
4/8/2013 0:00, UP, DOWN
4/16/2013 0:00, UP, UP
4/17/2013 0:00, UP, UP
4/18/2013 0:00, UP, UP
4/19/2013 0:00, UP, DOWN
4/21/2013 0:00, UP, UP
4/22/2013 0:00, UP, UP
4/23/2013 0:00, UP, DOWN
4/27/2013 0:00, UP, UP
4/28/2013 0:00, UP, DOWN
5/3/2013 0:00, UP, DOWN
5/9/2013 0:00, UP, DOWN
5/16/2013 0:00, UP, DOWN
5/23/2013 0:00, UP, DOWN
6/9/2013 0:00, UP, DOWN
6/17/2013 0:00, UP, DOWN
7/6/2013 0:00, UP, DOWN
7/9/2013 0:00, UP, UP
7/10/2013 0:00, UP, DOWN
8/20/2013 0:00, UP, DOWN
8/26/2013 0:00, UP, DOWN
8/29/2013 0:00, UP, UP
8/30/2013 0:00, UP, DOWN
10/2/2013 0:00, UP, DOWN
10/14/2013 0:00, UP, DOWN
10/17/2013 0:00, UP, UP
10/18/2013 0:00, UP, DOWN
10/20/2013 0:00, UP, UP
10/21/2013 0:00, UP, UP
10/22/2013 0:00, UP, DOWN
