date,from state,to state
1/13/20160:00,DOWN,DOWN
1/14/20160:00,DOWN,UP
1/16/20160:00,DOWN,DOWN
1/17/20160:00,DOWN,DOWN
1/18/20160:00,DOWN,UP
1/20/20160:00,DOWN,DOWN
1/21/20160:00,DOWN,DOWN
1/22/20160:00,DOWN,UP
1/24/20160:00,DOWN,DOWN
1/25/20160:00,DOWN,DOWN
1/26/20160:00,DOWN,DOWN
1/27/20160:00,DOWN,DOWN
1/28/20160:00,DOWN,DOWN
1/29/20160:00,DOWN,DOWN
1/30/20160:00,DOWN,DOWN
1/31/20160:00,DOWN,DOWN
2/1/20160:00,DOWN,DOWN
2/2/20160:00,DOWN,UP
2/4/20160:00,DOWN,DOWN
2/5/20160:00,DOWN,DOWN
2/6/20160:00,DOWN,DOWN
2/7/20160:00,DOWN,DOWN
2/8/20160:00,DOWN,DOWN
2/9/20160:00,DOWN,DOWN
2/10/20160:00,DOWN,DOWN
2/11/20160:00,DOWN,UP
2/14/20160:00,DOWN,DOWN
2/15/20160:00,DOWN,UP
2/17/20160:00,DOWN,DOWN
2/18/20160:00,DOWN,UP
