p,p-value
0.0,0.0
0.01,7.71581156014e-29
0.02,1.80243482013e-23
0.03,2.37121294248e-20
0.04,3.73988293936e-18
0.05,1.84391829726e-16
0.06,4.35523836507e-15
0.07,6.18809972677e-14
0.08,6.05900850722e-13
0.09,4.46285438236e-12
0.1,2.62530693863e-11
0.11,1.28717548513e-10
0.12,5.4283490113e-10
0.13,2.01677598615e-09
0.14,6.72479864125e-09
0.15,2.0423443067e-08
0.16,5.71690130649e-08
0.17,1.48931929261e-07
0.18,3.63997362495e-07
0.19,8.40255695494e-07
0.2,1.84244814886e-06
0.21,3.85614975047e-06
0.22,7.73562911486e-06
0.23,1.49274471894e-05
0.24,2.77962829485e-05
0.25,5.00833464843e-05
0.26,8.75300282863e-05
0.27,0.00022807456182
0.28,0.000298500390777
0.29,0.000431590130482
0.3,0.000938554917207
0.31,0.00117814348461
0.32,0.00251317428829
0.33,0.00289934730782
0.34,0.00579970281998
0.35,0.00639961819895
0.36,0.0118821526999
0.37,0.0128241927656
0.38,0.0221751128644
0.39,0.023682708683
0.4,0.0384229011064
0.41,0.0408314027914
0.42,0.062651838266
0.43,0.0663926258177
0.44,0.0970535002597
0.45,0.102595084469
0.46,0.143786731661
0.47,0.199868242806
0.48,0.204705201875
0.49,0.27420733949
0.5,0.361594608054
0.51,0.364488726101
0.52,0.465882167272
0.53,0.470321122549
0.54,0.584817274177
0.55,0.714334825618
0.56,0.715988974868
0.57,0.854362333308
0.58,0.855845597909
0.59,1.0
0.6,1.0
0.61,1.0
0.62,0.851928526249
0.63,0.710189837299
0.64,0.70465185829
0.65,0.569871531264
0.66,0.563524862832
0.67,0.439568125282
0.68,0.335271897843
0.69,0.323769517339
0.7,0.235916546695
0.71,0.225734300767
0.72,0.155632328399
0.73,0.147161141772
0.74,0.0948592055508
0.75,0.0881076057754
0.76,0.0523653443887
0.77,0.0471369181466
0.78,0.0255218424997
0.79,0.0216116375229
0.8,0.010731062214
0.81,0.00803633112909
0.82,0.00655678726008
0.83,0.00241808167776
0.84,0.00141407052467
0.85,0.000787732071659
0.86,0.000415317311627
0.87,0.000205606091236
0.88,9.46409892264e-05
0.89,4.00061257794e-05
0.9,1.52844917862e-05
0.91,5.16809364622e-06
0.92,1.50316954401e-06
0.93,3.6137442859e-07
0.94,6.77329957519e-08
0.95,9.04040676975e-09
0.96,7.38236787647e-10
0.97,2.77479559786e-11
0.98,2.53405179652e-13
0.99,7.32018108494e-17
1.0,0.0
