date,from state,to state
3/28/20140:00,DOWN,DOWN
3/29/20140:00,DOWN,DOWN
3/30/20140:00,DOWN,UP
4/1/20140:00,DOWN,UP
4/5/20140:00,DOWN,DOWN
4/6/20140:00,DOWN,UP
4/8/20140:00,DOWN,DOWN
4/9/20140:00,DOWN,UP
4/12/20140:00,DOWN,UP
4/16/20140:00,DOWN,DOWN
4/17/20140:00,DOWN,UP
4/19/20140:00,DOWN,DOWN
4/20/20140:00,DOWN,DOWN
4/21/20140:00,DOWN,UP
4/24/20140:00,DOWN,DOWN
4/25/20140:00,DOWN,DOWN
4/26/20140:00,DOWN,UP
5/1/20140:00,DOWN,DOWN
5/2/20140:00,DOWN,DOWN
5/3/20140:00,DOWN,DOWN
5/4/20140:00,DOWN,DOWN
5/5/20140:00,DOWN,UP
5/7/20140:00,DOWN,UP
5/10/20140:00,DOWN,UP
5/12/20140:00,DOWN,UP
5/17/20140:00,DOWN,DOWN
5/18/20140:00,DOWN,UP
5/22/20140:00,DOWN,UP
5/26/20140:00,DOWN,UP
5/28/20140:00,DOWN,UP
