p,p-value
0.0,0.0
0.01,3.79490087241e-70
0.02,7.2644192863e-58
0.03,1.04740655002e-50
0.04,1.20549801776e-45
0.05,9.82693503644e-42
0.06,1.5002225178e-38
0.07,7.20498458456e-36
0.08,1.48354601658e-33
0.09,1.59910857959e-31
0.1,1.03411718343e-29
0.11,4.42182012652e-28
0.12,1.34321251498e-26
0.13,3.06104417427e-25
0.14,5.45971393147e-24
0.15,7.88176476414e-23
0.16,9.46190428988e-22
0.17,9.65696630053e-21
0.18,8.53420885095e-20
0.19,6.63139369755e-19
0.2,4.58981326824e-18
0.21,2.86111582126e-17
0.22,1.62163680168e-16
0.23,8.42602468871e-16
0.24,4.04255647777e-15
0.25,1.80211269017e-14
0.26,7.50591751946e-14
0.27,2.93527831705e-13
0.28,1.08245594086e-12
0.29,3.77898767951e-12
0.3,1.25330946399e-11
0.31,3.96113213276e-11
0.32,1.1964252677e-10
0.33,6.17947070221e-10
0.34,1.08103674393e-09
0.35,4.14440006162e-09
0.36,7.33470957938e-09
0.37,2.15473505399e-08
0.38,6.51376879308e-08
0.39,1.0469058205e-07
0.4,2.582918874e-07
0.41,6.26208081644e-07
0.42,1.47622730641e-06
0.43,3.35724525373e-06
0.44,7.33448381787e-06
0.45,1.53746797698e-05
0.46,3.09507588442e-05
0.47,3.81232139972e-05
0.48,7.17627488604e-05
0.49,0.000131437626552
0.5,0.000355281118631
0.51,0.000605816463889
0.52,0.00100670927213
0.53,0.00163348968834
0.54,0.0025925025907
0.55,0.00403036410207
0.56,0.00614500090776
0.57,0.00919793899806
0.58,0.0135271616231
0.59,0.0195594235424
0.6,0.027820420614
0.61,0.0518520947609
0.62,0.0699132739224
0.63,0.0930007444101
0.64,0.122061178293
0.65,0.158066555676
0.66,0.201959923193
0.67,0.254587343324
0.68,0.38558372555
0.69,0.466141710857
0.7,0.556679446611
0.71,0.65663311874
0.72,0.764948943718
0.73,0.88007578094
0.74,1.0
0.75,1.0
0.76,0.754353336522
0.77,0.633065689164
0.78,0.516980622687
0.79,0.409173005135
0.8,0.312369662443
0.81,0.228699975881
0.82,0.159482318813
0.83,0.105077239189
0.84,0.064835296507
0.85,0.0371626204264
0.86,0.0295473098609
0.87,0.0136413136358
0.88,0.00548566568121
0.89,0.00206135681436
0.9,0.000820051499972
0.91,0.000282665233517
0.92,8.16566760524e-05
0.93,1.88691067748e-05
0.94,3.25772561707e-06
0.95,3.78050843732e-07
0.96,2.47016398469e-08
0.97,6.51978149335e-10
0.98,3.29862623882e-12
0.99,2.9649407749e-16
1.0,0.0
